name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
	TotalNonCurrentAssets,"172,816,000,000","174,533,000,000","169,952,000,000","166,298,000,000","165,860,000,000","81,773,000,000","79,900,000,000","75,067,000,000","71,424,000,000","68,972,000,000","67,132,000,000","61,189,000,000","58,367,000,000","56,981,000,000","51,228,000,000","50,831,000,000","49,614,000,000","50,436,000,000","44,313,000,000","44,533,000,000","41,674,000,000","42,196,000,000","37,205,000,000","37,464,000,000","33,479,000,000","32,003,000,000","30,844,000,000","27,786,000,000","7,947,000,000","7,381,200,000","6,139,500,000","6,167,700,000","6,320,200,000","5,493,700,000","4,481,300,000","5,108,900,000","3,806,300,000","3,121,000,000","2,897,300,000"
		NetPPE,"34,941,000,000","33,596,000,000","32,624,000,000","32,078,000,000","31,603,000,000","29,540,000,000","28,406,000,000","27,349,000,000","25,179,000,000","23,332,000,000","22,380,000,000","21,512,000,000","19,695,000,000","17,806,000,000","17,597,000,000","17,532,000,000","17,433,000,000","17,167,000,000","16,968,000,000","16,482,000,000","12,678,000,000","12,780,000,000","12,907,000,000","12,310,000,000","11,346,000,000","10,346,000,000","8,951,000,000","8,031,000,000","6,190,000,000","5,814,500,000","5,228,200,000","4,798,700,000","4,571,600,000","3,910,500,000","3,397,300,000",,,,
			GrossPPE,"77,551,000,000","72,952,000,000","70,544,000,000","67,595,000,000","64,018,000,000","60,304,000,000","57,443,000,000","54,198,000,000","50,023,000,000","47,054,000,000","44,839,000,000","42,199,000,000","39,267,000,000","36,179,000,000","34,992,000,000","33,842,000,000","32,578,000,000","30,948,000,000","29,573,000,000","28,147,000,000","21,472,000,000","20,913,000,000","20,635,000,000","19,202,000,000","17,566,000,000","15,728,000,000","13,808,000,000","12,479,000,000","9,229,000,000","8,441,600,000","7,514,600,000","6,798,300,000","6,239,400,000","5,315,600,000","4,614,600,000",,,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				LandAndImprovements,"8,595,000,000","8,897,000,000","8,192,000,000","1,035,000,000","1,165,000,000","7,035,000,000","6,848,000,000","5,842,000,000","1,250,000,000","5,504,000,000","5,336,000,000","5,055,000,000","4,854,000,000","4,782,000,000","4,792,000,000","4,937,000,000","4,802,000,000","1,192,000,000","1,129,000,000","1,127,000,000","3,039,000,000","848,000,000","635,000,000","597,000,000",,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,"64,892,000,000","62,111,000,000","58,589,000,000","28,995,000,000","28,644,000,000","27,930,000,000","42,745,000,000","21,539,000,000","21,195,000,000","19,678,000,000","17,662,000,000","15,998,000,000","15,929,000,000","15,444,000,000","15,357,000,000",,,,"599,000,000","9,671,000,000",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"26,358,000,000","24,409,000,000","24,008,000,000",,"21,265,000,000","19,400,000,000","18,908,000,000","16,912,000,000","16,068,000,000","15,701,000,000","15,135,000,000","14,317,000,000","13,476,000,000","12,575,000,000","12,228,000,000","11,739,000,000","11,272,000,000",,"27,570,000,000","25,168,000,000","16,758,000,000","18,917,000,000","19,089,000,000","16,610,000,000",,,,,,,,,,,,,,,
				OtherProperties,"35,255,000,000","33,795,000,000","32,765,000,000","62,111,000,000","58,589,000,000","28,995,000,000","28,644,000,000","27,930,000,000","42,745,000,000","21,539,000,000","21,195,000,000","19,678,000,000",,,,,,"28,843,000,000",,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"6,285,000,000","4,814,000,000","4,521,000,000","4,449,000,000","4,264,000,000","3,942,000,000","2,145,000,000","2,684,000,000","6,028,000,000","3,553,000,000","2,476,000,000","2,453,000,000","2,625,000,000","2,180,000,000","1,350,000,000","1,169,000,000","1,147,000,000","913,000,000","874,000,000","1,852,000,000","1,076,000,000","1,148,000,000","911,000,000","1,995,000,000",,,,,,,,,,,,,,,
				Leases,"1,058,000,000","1,037,000,000","1,058,000,000",,"1,166,000,000","932,000,000","898,000,000","830,000,000","769,000,000","757,000,000","697,000,000","696,000,000","650,000,000","644,000,000","693,000,000","553,000,000",,,,,,,,,,,,,,,,,,,,,,,
