name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"90,028,000,000","88,898,000,000","82,722,000,000","67,418,000,000","65,388,000,000","69,607,000,000","59,434,000,000","55,137,000,000","55,632,000,000","52,465,000,000","48,813,000,000","45,041,000,000","42,278,000,000","40,893,000,000","38,063,000,000","36,149,000,000","37,843,000,000","35,510,000,000","33,747,000,000","31,374,000,000","30,752,000,000","27,061,000,000","25,329,000,000","25,172,000,000","25,418,000,000","23,435,000,000","22,976,000,000","22,473,000,000","18,739,000,000","12,151,000,000","10,055,100,000","8,529,200,000","7,504,000,000","6,182,400,000","5,843,700,000","4,594,300,000","3,497,100,000","2,925,800,000","2,470,900,000","2,015,400,000"
	OperatingRevenue,"90,028,000,000","88,898,000,000","82,722,000,000","67,418,000,000","65,388,000,000","69,607,000,000","59,434,000,000","55,137,000,000","55,632,000,000","52,465,000,000","48,813,000,000","45,041,000,000","42,278,000,000","40,893,000,000","38,063,000,000","36,149,000,000","37,843,000,000","35,510,000,000","33,747,000,000","31,374,000,000","30,752,000,000","27,061,000,000","25,329,000,000","25,172,000,000","25,418,000,000","23,435,000,000","22,976,000,000","22,473,000,000","18,739,000,000","12,151,000,000","10,055,100,000","8,529,200,000","7,504,000,000","6,182,400,000","5,843,700,000","4,594,300,000","3,497,100,000","2,925,800,000","2,470,900,000","2,015,400,000"
CostOfRevenue,"58,196,000,000","59,201,000,000","54,401,000,000","45,131,000,000","43,880,000,000","42,061,000,000","32,726,000,000","30,306,000,000","29,993,000,000","28,364,000,000","26,420,000,000","25,034,000,000","23,468,000,000","33,112,000,000","31,337,000,000","30,452,000,000","30,400,000,000","28,729,000,000","28,392,000,000","27,443,000,000","26,704,000,000","24,348,000,000","22,924,000,000","21,573,000,000","21,660,000,000","16,392,000,000","15,143,000,000","14,989,000,000","11,671,000,000","7,832,000,000","6,481,100,000","5,776,300,000","5,309,100,000","4,223,000,000","3,879,900,000","2,901,700,000",,,,
GrossProfit,"31,832,000,000","29,697,000,000","28,321,000,000","22,287,000,000","21,508,000,000","27,546,000,000","26,708,000,000","24,831,000,000","25,639,000,000","24,101,000,000","22,393,000,000","20,007,000,000","18,810,000,000","7,781,000,000","6,726,000,000","5,697,000,000","7,443,000,000","6,781,000,000","5,355,000,000","3,931,000,000","4,048,000,000","2,713,000,000","2,405,000,000","3,599,000,000","3,758,000,000","7,043,000,000","7,833,000,000","7,484,000,000","7,068,000,000","4,319,000,000","3,574,000,000","2,752,900,000","2,194,900,000","1,959,400,000","1,963,800,000","1,692,600,000",,,,
OperatingExpense,"20,580,000,000","20,705,000,000","21,551,000,000","18,628,000,000","17,714,000,000","15,716,000,000","11,871,000,000","10,958,000,000","11,281,000,000","10,877,000,000","10,853,000,000","10,557,000,000","9,947,000,000",,"0","0","0",,"0","0","0","0","21,000,000","767,000,000","1,233,000,000","3,919,000,000","3,918,000,000","3,539,000,000","4,044,000,000","2,092,000,000","1,770,500,000","1,192,600,000","907,800,000","955,300,000","676,800,000","583,200,000","2,649,400,000","2,170,300,000","1,967,400,000","1,653,900,000"
	SellingGeneralAndAdministration,"15,466,000,000","15,336,000,000","16,388,000,000","13,517,000,000","12,369,000,000","11,549,000,000","8,860,000,000","8,176,000,000","8,754,000,000","8,523,000,000","8,565,000,000","8,365,000,000","7,960,000,000",,,,,,,,,,,,"105,000,000","140,000,000","164,000,000","367,000,000","309,000,000","239,000,000","162,200,000","164,200,000","148,200,000","160,800,000","138,500,000","119,600,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"5,114,000,000","5,369,000,000","5,163,000,000","5,111,000,000","5,345,000,000","4,167,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000","2,192,000,000","1,987,000,000",,,,,,,,,"18,000,000","21,000,000","767,000,000","1,233,000,000","3,779,000,000","3,754,000,000","3,172,000,000","3,735,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"5,114,000,000","5,369,000,000","5,163,000,000","5,111,000,000","5,345,000,000","4,167,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000","2,192,000,000","1,987,000,000",,,,,,,,,"18,000,000","21,000,000","767,000,000","1,233,000,000","3,779,000,000","3,754,000,000","3,172,000,000","3,735,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000",,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,"18,000,000","21,000,000","767,000,000","1,233,000,000",,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"18,000,000","21,000,000","767,000,000","1,233,000,000",,,,,,,,,,,,,,,
OperatingIncome,"11,252,000,000","8,992,000,000","6,770,000,000","3,659,000,000","3,794,000,000","11,830,000,000","14,837,000,000","13,873,000,000","14,358,000,000","13,224,000,000","11,540,000,000","9,450,000,000","8,863,000,000","7,781,000,000","6,726,000,000","5,697,000,000","7,443,000,000","6,781,000,000","5,355,000,000","3,931,000,000","4,048,000,000","2,713,000,000","2,384,000,000","2,832,000,000","2,525,000,000","3,124,000,000","3,915,000,000","3,945,000,000","3,024,000,000","2,227,000,000","1,803,500,000","1,560,300,000","1,287,100,000","1,004,100,000","1,287,000,000","1,109,400,000","847,700,000","755,500,000","503,500,000","361,500,000"
NetNonOperatingInterestIncomeExpense,"-1,181,000,000","-1,209,000,000","-1,397,000,000","-1,406,000,000","-1,491,000,000","-978,000,000","-574,000,000","-385,000,000","-260,000,000","-117,000,000","23,000,000","-235,000,000","-393,000,000","-343,000,000","-409,000,000","-466,000,000","-524,000,000",,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"858,000,000","764,000,000","152,000,000","140,000,000","156,000,000","268,000,000","108,000,000","122,000,000","94,000,000","148,000,000","317,000,000","114,000,000","103,000,000","92,000,000","47,000,000","122,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"2,039,000,000","1,973,000,000","1,549,000,000","1,406,000,000","1,491,000,000","978,000,000","574,000,000","507,000,000","354,000,000","265,000,000","294,000,000","349,000,000","472,000,000","435,000,000","456,000,000","588,000,000","524,000,000",,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,"24,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,443,000,000","-3,014,000,000","-88,000,000","308,000,000","-4,046,000,000","3,071,000,000","466,000,000","300,000,000","770,000,000","761,000,000","683,000,000","405,000,000","790,000,000","605,000,000","310,000,000","427,000,000","483,000,000","1,537,000,000","561,000,000","477,000,000","308,000,000","334,000,000","259,000,000","-1,132,000,000","605,000,000","-109,000,000","-64,000,000","135,000,000","-525,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
	GainOnSaleOfSecurity,,"169,000,000","-663,000,000","-111,000,000","1,038,000,000",,,,,,"-143,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"695,000,000","782,000,000","816,000,000","761,000,000","651,000,000","-103,000,000","-102,000,000","320,000,000","926,000,000","814,000,000","854,000,000","688,000,000","627,000,000","585,000,000","440,000,000",,"581,000,000","485,000,000","473,000,000","483,000,000","372,000,000","334,000,000","225,000,000","300,000,000","208,000,000",,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-3,138,000,000","-3,892,000,000","-237,000,000","-654,000,000","-5,735,000,000","-1,183,000,000","-33,000,000","-20,000,000","-156,000,000","-53,000,000","-28,000,000","-283,000,000","163,000,000","20,000,000","-130,000,000","427,000,000","483,000,000","1,052,000,000","88,000,000","-6,000,000","-64,000,000","0","34,000,000","-1,432,000,000","397,000,000","-109,000,000","-64,000,000","135,000,000","-525,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
